sl,date,job,experience,rating,pperhour
0,2005-07-05,1,Engineer,4,3.9,1404.0
1,2007-10-11,1,Engineer,4,3.3,990.0
2,2010-11-24,1,Engineer,2,3.4,714.0
3,2007-11-12,1,Engineer,3,1.6,160.0
4,2002-10-26,1,Engineer,3,2.0,300.0
5,2002-04-25,1,Engineer,5,1.2,180.0
6,2003-06-02,1,Engineer,4,4.0,1680.0
7,2006-04-21,1,Engineer,4,1.5,165.0
8,2009-06-11,1,Engineer,4,1.8,144.0
9,2008-12-22,1,Engineer,5,2.8,504.0
10,2000-10-31,1,Engineer,3,3.9,1989.0
11,2001-09-09,1,Engineer,1,4.0,1920.0
12,2001-07-01,1,Engineer,1,3.3,1584.0
13,2008-07-22,1,Engineer,2,4.3,1548.0
14,2000-02-16,1,Engineer,5,3.9,1989.0
15,2000-12-06,1,Engineer,4,3.1,1581.0
16,2005-05-08,1,Engineer,1,4.3,2064.0
17,2001-05-22,1,Engineer,4,3.5,1680.0
18,2007-01-17,1,Engineer,2,4.2,1680.0
19,2004-02-12,1,Engineer,4,4.8,2496.0
20,2001-11-27,1,Engineer,4,2.3,736.0
21,2010-01-05,1,Engineer,5,2.4,336.0
22,2004-06-09,1,Engineer,3,3.9,1521.0
23,2005-01-24,1,Engineer,1,1.5,180.0
24,2002-05-18,1,Engineer,3,1.7,255.0
25,2008-03-26,1,Engineer,4,2.3,414.0
26,2006-07-11,1,Engineer,5,2.7,594.0
27,2000-06-04,1,Engineer,3,2.0,340.0
28,2010-02-08,1,Engineer,4,1.9,133.0
29,2006-06-17,1,Engineer,4,3.2,1056.0
30,2010-07-05,1,Engineer,1,1.2,84.0
31,2007-04-12,1,Engineer,3,1.7,170.0
32,2007-06-11,1,Engineer,5,4.8,1920.0
33,2007-07-12,1,Engineer,4,2.1,420.0
34,2005-02-21,1,Engineer,1,1.7,204.0
35,2000-12-09,1,Engineer,1,1.8,306.0
36,2006-01-21,1,Engineer,5,1.8,198.0
37,2004-10-04,1,Engineer,3,1.2,156.0
38,2010-03-10,1,Engineer,4,4.6,1288.0
39,2007-04-22,1,Engineer,5,1.3,130.0
40,2006-04-05,1,Engineer,4,3.0,660.0
41,2009-01-25,1,Engineer,3,3.7,888.0
42,2003-11-13,1,Engineer,2,1.2,168.0
43,2003-01-14,1,Engineer,1,4.6,2576.0
44,2009-11-26,1,Engineer,3,4.6,1472.0
45,2003-10-02,1,Engineer,2,4.1,2296.0
46,2003-10-18,1,Engineer,1,4.6,2576.0
47,2005-06-27,1,Engineer,3,3.3,1188.0
48,2007-09-12,1,Engineer,4,3.8,1140.0
49,2002-11-05,1,Engineer,2,3.7,1665.0
50,2006-05-26,1,Engineer,3,1.8,198.0
51,2002-07-19,1,Engineer,5,2.3,690.0
52,2003-11-11,1,Engineer,1,3.4,1428.0
53,2003-09-01,1,Engineer,3,3.2,1344.0
54,2009-03-15,1,Engineer,4,4.4,1408.0
55,2009-03-27,1,Engineer,1,3.9,936.0
56,2002-06-01,1,Engineer,4,3.2,1440.0
57,2009-06-18,1,Engineer,4,4.1,1312.0
58,2002-02-18,1,Engineer,5,2.6,780.0
59,2004-05-09,1,Engineer,4,3.8,1482.0
60,2000-10-02,1,Engineer,3,2.8,952.0
61,2004-05-22,1,Engineer,4,3.1,1209.0
62,2002-02-27,1,Engineer,1,3.0,900.0
63,2006-09-06,1,Engineer,3,2.1,462.0
64,2002-01-20,1,Engineer,2,2.0,300.0
65,2007-01-01,1,Engineer,1,2.6,572.0
66,2005-12-18,1,Engineer,5,2.4,576.0
67,2004-10-04,1,Engineer,4,4.1,2132.0
68,2000-03-09,1,Engineer,5,1.9,323.0
69,2010-10-23,1,Engineer,1,3.6,756.0
70,2005-04-21,1,Engineer,3,1.7,204.0
71,2009-10-17,1,Engineer,4,4.1,1312.0
72,2000-01-21,1,Engineer,3,4.5,3060.0
73,2002-02-11,1,Engineer,2,4.1,2460.0
74,2003-09-29,1,Engineer,2,3.1,1302.0
75,2002-07-26,1,Engineer,4,3.4,1530.0
76,2007-08-06,1,Engineer,2,4.6,1840.0
77,2009-01-21,1,Engineer,5,1.4,112.0
78,2008-05-04,1,Engineer,5,4.6,1656.0
79,2006-01-28,1,Engineer,5,2.7,594.0
80,2003-04-04,1,Engineer,2,1.3,182.0
81,2009-01-17,1,Engineer,5,1.7,136.0
82,2008-07-26,1,Engineer,5,1.0,90.0
83,2008-02-26,1,Engineer,5,2.4,432.0
84,2007-05-11,1,Engineer,1,4.6,1840.0
85,2001-02-09,1,Engineer,4,2.2,704.0
86,2000-08-24,1,Engineer,4,3.9,1989.0
87,2010-12-02,1,Engineer,1,4.8,1344.0
88,2009-07-06,1,Engineer,2,1.3,104.0
89,2002-03-27,1,Engineer,4,1.2,180.0
90,2004-01-16,1,Engineer,4,1.7,221.0
91,2000-07-18,1,Engineer,4,4.3,2924.0
92,2007-07-28,1,Engineer,2,2.2,440.0
93,2005-02-14,1,Engineer,3,1.9,228.0
94,2009-07-30,1,Engineer,5,1.2,96.0
95,2000-01-19,1,Engineer,1,3.3,1683.0
96,2008-11-23,1,Engineer,2,3.0,540.0
97,2009-12-19,1,Engineer,2,2.4,384.0
98,2007-11-27,1,Engineer,3,2.5,500.0
99,2005-01-12,1,Engineer,3,2.1,504.0
100,2006-09-09,1,Engineer,4,3.5,1155.0
101,2005-10-10,1,Engineer,1,4.2,2016.0
102,2008-12-15,1,Engineer,3,2.4,432.0
103,2002-01-20,1,Engineer,3,3.8,1710.0
104,2009-09-16,1,Engineer,2,3.7,888.0
105,2007-02-22,1,Engineer,4,4.7,1880.0
106,2006-06-04,1,Engineer,2,2.1,462.0
107,2006-05-01,1,Engineer,2,2.0,220.0
108,2008-05-20,1,Engineer,5,2.3,414.0
109,2008-07-29,1,Engineer,1,3.9,1053.0
110,2006-05-23,1,Engineer,3,1.9,209.0
111,2001-01-11,1,Engineer,5,1.1,176.0
112,2005-07-06,1,Engineer,1,3.4,1224.0
113,2005-08-02,1,Engineer,3,3.4,1224.0
114,2004-12-17,1,Engineer,3,2.1,546.0
115,2006-04-18,1,Engineer,4,2.2,484.0
116,2004-04-14,1,Engineer,4,4.7,2444.0
117,2000-09-03,1,Engineer,5,1.5,255.0
118,2003-09-25,1,Engineer,2,4.6,2576.0
119,2008-05-19,1,Engineer,2,4.6,1656.0
120,2005-09-11,1,Engineer,3,1.1,132.0
121,2010-10-30,1,Engineer,4,2.2,308.0
122,2010-09-26,1,Engineer,3,4.6,1288.0
123,2009-02-03,1,Engineer,4,3.1,744.0
124,2001-08-03,1,Engineer,5,4.0,1920.0
125,2009-06-18,1,Engineer,5,2.5,400.0
126,2004-10-16,1,Engineer,4,2.5,650.0
127,2007-10-26,1,Engineer,4,3.4,1020.0
128,2009-11-18,1,Engineer,3,2.3,368.0
129,2003-11-20,1,Engineer,2,1.2,168.0
130,2010-03-20,1,Engineer,1,2.5,350.0
131,2004-10-13,1,Engineer,1,3.9,1521.0
132,2002-03-28,1,Engineer,3,3.7,1665.0
133,2003-01-25,1,Engineer,1,1.9,266.0
