job,date,maxsal,minsal
Engineer,2000-1-1,626,332
Engineer,2000-1-2,600,284
Engineer,2000-1-3,601,282
Engineer,2000-1-4,565,289
Engineer,2000-1-5,492,337
Engineer,2000-1-6,543,353
Engineer,2000-1-7,627,286
Engineer,2000-1-8,615,282
Engineer,2000-1-9,558,343
Engineer,2000-1-10,568,299
Engineer,2000-1-11,521,294
Engineer,2000-1-12,516,315
Engineer,2000-1-13,654,363
Engineer,2000-1-14,626,352
Engineer,2000-1-15,640,312
Engineer,2000-1-16,594,339
Engineer,2000-1-17,614,285
Engineer,2000-1-18,612,309
Engineer,2000-1-19,570,327
Engineer,2000-1-20,551,354
Engineer,2000-1-21,497,297
Engineer,2000-1-22,592,279
Engineer,2000-1-23,602,323
Engineer,2000-1-24,615,284
Engineer,2000-1-25,523,276
Engineer,2000-1-26,595,294
Engineer,2000-1-27,585,299
Engineer,2000-1-28,629,345
Engineer,2000-1-29,512,291
Engineer,2000-1-30,563,338
Engineer,2000-1-31,584,276
Engineer,2000-2-1,581,282
Engineer,2000-2-2,638,289
Engineer,2000-2-3,559,304
Engineer,2000-2-4,565,282
Engineer,2000-2-5,604,283
Engineer,2000-2-6,582,275
Engineer,2000-2-7,602,430
Engineer,2000-2-8,637,313
Engineer,2000-2-9,643,290
Engineer,2000-2-10,559,278
Engineer,2000-2-11,599,277
Engineer,2000-2-12,455,309
Engineer,2000-2-13,503,276
Engineer,2000-2-14,551,316
Engineer,2000-2-15,427,298
Engineer,2000-2-16,610,281
Engineer,2000-2-17,606,297
Engineer,2000-2-18,618,283
Engineer,2000-2-19,649,343
Engineer,2000-2-20,645,276
Engineer,2000-2-21,551,276
Engineer,2000-2-22,643,349
Engineer,2000-2-23,601,311
Engineer,2000-2-24,606,302
Engineer,2000-2-25,548,286
Engineer,2000-2-26,610,281
Engineer,2000-2-27,586,347
Engineer,2000-2-28,535,284
Engineer,2000-2-29,635,352
Engineer,2000-3-1,864,471
Engineer,2000-3-2,904,420
Engineer,2000-3-3,778,453
Engineer,2000-3-4,802,460
Engineer,2000-3-5,922,500
Engineer,2000-3-6,796,400
Engineer,2000-3-7,835,405
Engineer,2000-3-8,859,423
Engineer,2000-3-9,947,544
Engineer,2000-3-10,904,554
Engineer,2000-3-11,880,434
Engineer,2000-3-12,802,429
Engineer,2000-3-13,864,428
Engineer,2000-3-14,903,409
Engineer,2000-3-15,847,478
Engineer,2000-3-16,883,403
Engineer,2000-3-17,813,411
Engineer,2000-3-18,810,487
Engineer,2000-3-19,734,468
Engineer,2000-3-20,839,445
Engineer,2000-3-21,912,400
Engineer,2000-3-22,940,535
Engineer,2000-3-23,850,437
Engineer,2000-3-24,724,427
Engineer,2000-3-25,849,475
Engineer,2000-3-26,944,503
Engineer,2000-3-27,881,421
Engineer,2000-3-28,850,451
Engineer,2000-3-29,863,475
Engineer,2000-3-30,857,491
Engineer,2000-3-31,920,486
Engineer,2000-4-1,609,329
Engineer,2000-4-2,600,289
Engineer,2000-4-3,590,299
Engineer,2000-4-4,565,277
Engineer,2000-4-5,565,277
Engineer,2000-4-6,528,281
Engineer,2000-4-7,625,288
Engineer,2000-4-8,547,413
Engineer,2000-4-9,447,288
Engineer,2000-4-10,640,336
Engineer,2000-4-11,519,277
Engineer,2000-4-12,563,295
Engineer,2000-4-13,617,280
Engineer,2000-4-14,607,277
Engineer,2000-4-15,593,309
Engineer,2000-4-16,602,334
Engineer,2000-4-17,597,370
Engineer,2000-4-18,581,289
Engineer,2000-4-19,614,325
Engineer,2000-4-20,550,351
Engineer,2000-4-21,532,302
Engineer,2000-4-22,592,353
Engineer,2000-4-23,559,280
Engineer,2000-4-24,443,277
Engineer,2000-4-25,639,282
Engineer,2000-4-26,641,307
Engineer,2000-4-27,628,312
Engineer,2000-4-28,565,278
Engineer,2000-4-29,572,336
Engineer,2000-4-30,585,275
Engineer,2000-5-1,848,407
Engineer,2000-5-2,884,402
Engineer,2000-5-3,916,419
Engineer,2000-5-4,926,528
