job,date,maxsal
Engineer,2000-1-1,626
Engineer,2000-1-2,600
Engineer,2000-1-3,601
Engineer,2000-1-4,565
Engineer,2000-1-5,492
Engineer,2000-1-6,543
Engineer,2000-1-7,627
Engineer,2000-1-8,615
Engineer,2000-1-9,558
Engineer,2000-1-10,568
Engineer,2000-1-11,521
Engineer,2000-1-12,516
Engineer,2000-1-13,654
Engineer,2000-1-14,626
Engineer,2000-1-15,640
Engineer,2000-1-16,594
Engineer,2000-1-17,614
Engineer,2000-1-18,612
Engineer,2000-1-19,570
Engineer,2000-1-20,551
Engineer,2000-1-21,497
Engineer,2000-1-22,592
Engineer,2000-1-23,602
Engineer,2000-1-24,615
Engineer,2000-1-25,523
Engineer,2000-1-26,595
Engineer,2000-1-27,585
Engineer,2000-1-28,629
Engineer,2000-1-29,512
Engineer,2000-1-30,563
Engineer,2000-1-31,584
Engineer,2000-2-1,581
Engineer,2000-2-2,638
Engineer,2000-2-3,559
Engineer,2000-2-4,565
Engineer,2000-2-5,604
Engineer,2000-2-6,582
Engineer,2000-2-7,602
Engineer,2000-2-8,637
Engineer,2000-2-9,643
Engineer,2000-2-10,559
Engineer,2000-2-11,599
Engineer,2000-2-12,455
Engineer,2000-2-13,503
Engineer,2000-2-14,551
Engineer,2000-2-15,427
Engineer,2000-2-16,610
Engineer,2000-2-17,606
Engineer,2000-2-18,618
Engineer,2000-2-19,649
Engineer,2000-2-20,645
Engineer,2000-2-21,551
Engineer,2000-2-22,643
Engineer,2000-2-23,601
Engineer,2000-2-24,606
Engineer,2000-2-25,548
Engineer,2000-2-26,610
Engineer,2000-2-27,586
Engineer,2000-2-28,535
Engineer,2000-2-29,635
Engineer,2000-3-1,864
Engineer,2000-3-2,904
Engineer,2000-3-3,778
Engineer,2000-3-4,802
Engineer,2000-3-5,922
Engineer,2000-3-6,796
Engineer,2000-3-7,835
Engineer,2000-3-8,859
Engineer,2000-3-9,947
Engineer,2000-3-10,904
Engineer,2000-3-11,880
Engineer,2000-3-12,802
Engineer,2000-3-13,864
Engineer,2000-3-14,903
Engineer,2000-3-15,847
Engineer,2000-3-16,883
Engineer,2000-3-17,813
Engineer,2000-3-18,810
Engineer,2000-3-19,734
Engineer,2000-3-20,839
Engineer,2000-3-21,912
Engineer,2000-3-22,940
Engineer,2000-3-23,850
Engineer,2000-3-24,724
Engineer,2000-3-25,849
Engineer,2000-3-26,944
Engineer,2000-3-27,881
Engineer,2000-3-28,850
Engineer,2000-3-29,863
Engineer,2000-3-30,857
Engineer,2000-3-31,920
Engineer,2000-4-1,609
Engineer,2000-4-2,600
Engineer,2000-4-3,590
Engineer,2000-4-4,565
Engineer,2000-4-5,565
Engineer,2000-4-6,528
Engineer,2000-4-7,625
Engineer,2000-4-8,547
Engineer,2000-4-9,447
Engineer,2000-4-10,640
Engineer,2000-4-11,519
Engineer,2000-4-12,563
Engineer,2000-4-13,617
Engineer,2000-4-14,607
Engineer,2000-4-15,593
Engineer,2000-4-16,602
Engineer,2000-4-17,597
Engineer,2000-4-18,581
Engineer,2000-4-19,614
Engineer,2000-4-20,550
Engineer,2000-4-21,532
Engineer,2000-4-22,592
Engineer,2000-4-23,559
Engineer,2000-4-24,443
Engineer,2000-4-25,639
Engineer,2000-4-26,641
Engineer,2000-4-27,628
Engineer,2000-4-28,565
Engineer,2000-4-29,572
Engineer,2000-4-30,585
Engineer,2000-5-1,848
Engineer,2000-5-2,884
Engineer,2000-5-3,916
Engineer,2000-5-4,926
Engineer,2000-5-5,860
Engineer,2000-5-6,810
Engineer,2000-5-7,783
Engineer,2000-5-8,948
Engineer,2000-5-9,726
