id,job,place,lat,lng,latint,lngint,supplydemand,cost
1,Tester,KalyanNagar,13.02542238,77.64072418,130254,776407,1,850
1,Tester,Jayamahal,13.00451593,77.59823799,130045,775982,10,513
1,Tester,Kengeri,12.92534816,77.48416901,129253,774842,1,850
1,Tester,KasturbaRoad,12.97378025,77.59489059,129738,775949,1,946
1,Tester,KumaraParkEast,12.98218589,77.58643627,129822,775864,1,903
1,Tester,DoddaballapuraMainRoad,13.13937325,77.56909847,131394,775691,1,814
1,Tester,Thyagarajanagar,12.93187324,77.56708145,129319,775671,10,564
1,Tester,Kanakapura,12.54518017,77.41653442,125452,774165,11,772
1,Tester,BVKIyengarRoad,12.97217018,77.57669449,129722,775767,1,932
1,Tester,Vijayanagar,12.97093648,77.53206253,129709,775321,10,504
1,Tester,K.HRoad,12.95951927,77.59330273,129595,775933,11,709
1,Tester,VarthurRoad,12.95688446,77.70466805,129569,777047,1,824
1,Tester,CrescentRoad,12.98891857,77.58225203,129889,775823,11,661
1,Tester,Sarjapur,12.85787055,77.78629303,128579,777863,10,648
1,Tester,Lingarajapuram,13.00853011,77.63046741,130085,776305,1,934
1,Tester,St.MarksRoad,12.9747421,77.60119915,129747,776012,11,783
1,Tester,HAL2ndStage,12.97378025,77.64347076,129738,776435,11,731
1,Tester,Kalasipalyam,12.96060665,77.58141518,129606,775814,1,806
1,Tester,KempegowdaRoad,12.97444937,77.5778532,129744,775779,11,686
1,Tester,Sadhashivnagar,13.01057898,77.58278847,130106,775828,1,831
1,Tester,AshokNagar,12.97378025,77.58682251,129738,775868,10,619
1,Tester,Subramanyapura,12.89882782,77.5406456,128988,775406,10,541
1,Tester,LavelleRoad,12.96825997,77.5963068,129683,775963,11,673
1,Tester,DickensonRoad,12.97817129,77.6153183,129782,776153,11,739
1,Tester,AustinTown,12.96176721,77.61459947,129618,776146,10,500
1,Tester,Nagashettyhalli,13.04177,77.57343292,130418,775734,10,552
1,Tester,CookeTown,12.97378025,77.58682251,129738,775868,10,647
1,Tester,Kaggalipura,12.97378025,77.58682251,129738,775868,11,746
1,Tester,Srirampuram,12.98766405,77.56519318,129877,775652,11,721
1,Tester,Carmelram,12.90317836,77.71144867,129032,777114,11,757
1,Tester,AirportRoad,12.96625256,77.6259613,129663,776260,10,559
1,Tester,Bidadi,12.97378025,77.58682251,129738,775868,10,556
1,Tester,Viveknagar,12.95345498,77.61995316,129535,776200,11,674
1,Tester,VictoriaRoad,12.96531159,77.61763573,129653,776176,10,608
1,Tester,Dasarahalli,13.05038237,77.51232147,130504,775123,11,760
1,Tester,CunninghamRoad,12.98640952,77.59557724,129864,775956,11,748
1,Tester,K.GCircle,12.97419845,77.57871151,129742,775787,1,824
1,Tester,JPNagar,12.91338508,77.58768082,129134,775877,11,696
1,Tester,MagrathRoad,12.97039282,77.61106968,129704,776111,1,938
1,Tester,HSRLayout,12.91120991,77.6348877,129112,776349,1,837
